X,equationSystem
-8.0,-0.14550003380853066
-7.9,-0.04600212563962397
-7.800000000000001,0.053955420562913574
-7.700000000000001,0.1533738620377291
-7.600000000000001,0.25125984257014206
-7.500000000000002,0.34663531759482613
-7.400000000000002,0.43854732757861214
-7.3000000000000025,0.5260775174188114
-7.200000000000003,0.6083513147660689
-7.100000000000003,0.6845466675602624
-7.0000000000000036,0.7539022587361901
-6.900000000000004,0.8157251000386865
-6.800000000000004,0.8693974900334093
-6.700000000000005,0.9143831472083513
-6.600000000000005,0.9502325889367704
-6.500000000000005,0.9765876175451944
-6.400000000000006,0.9931848981221888
-6.300000000000006,0.9998586369474979
-6.200000000000006,0.9965420984590567
-6.100000000000007,0.9832684419018226
-6.000000000000007,0.9601702945865952
-5.9000000000000075,0.927478448171599
-5.800000000000008,0.8855195537324757
-5.700000000000008,0.8347127835563058
-5.6000000000000085,0.775565875739065
-5.500000000000009,0.7086697685025438
-5.400000000000009,0.6346928642169436
-5.30000000000001,0.554374313090447
-5.20000000000001,0.468516627010029
-5.10000000000001,0.37797765978430903
-5.000000000000011,0.283662189094928
-4.900000000000011,0.18651237639995943
-4.800000000000011,0.0874989965552176
-4.700000000000012,-0.012388684264656809
-4.600000000000012,-0.11215253817399988
-4.500000000000012,-0.21079580537826725
-4.400000000000013,-0.30733287305663276
-4.300000000000013,-0.4007991009343138
-4.2000000000000135,-0.49026078356427705
-4.100000000000014,-0.5748239269637218
-4.000000000000014,-0.6536436109925081
-3.900000000000014,-0.7259322993628267
-3.800000000000014,-0.7909677096172254
-3.700000000000014,-0.8481000306562785
-3.600000000000014,-0.8967584470130376
-3.5000000000000138,-0.936456701687162
-3.4000000000000137,-0.9667981990674192
-3.3000000000000136,-0.9874797727041974
-3.2000000000000135,-0.9982947769400154
-3.1000000000000134,-0.9991351507166395
-3.0000000000000133,-0.9899924800910899
-2.9000000000000132,-0.9709581587113987
-2.800000000000013,-0.9422223383367563
-2.700000000000013,-0.9040721412423789
-2.600000000000013,-0.8568887531366538
-2.500000000000013,-0.8011436154853702
-2.400000000000013,-0.7373937187196322
-2.3000000000000127,-0.6662760220537652
-2.2000000000000126,-0.5885011174082697
-2.1000000000000125,-0.5048461046226674
-2.0000000000000124,-0.4161468365494322
-1.9000000000000123,-0.32328956673849174
-1.8000000000000123,-0.2272020946882904
-1.7000000000000122,-0.12884449429550918
-1.600000000000012,-0.029199522301304456
-1.500000000000012,0.07073720166945943
-1.400000000000012,0.1699671428998884
-1.3000000000000118,0.26749882860301183
-1.2000000000000117,0.3623577541119816
-1.1000000000000116,0.45359612143186767
-1.0000000000000115,0.5403023059205178
-0.9000000000000116,0.6216099685797489
-0.8000000000000116,0.6967067107712154
-0.7000000000000116,0.7648421927272289
-0.6000000000000116,0.8253356148009193
-0.5000000000000117,0.8775825615017327
-0.4000000000000117,0.9210609927636634
-0.3000000000000117,0.9553364855332888
-0.2000000000000117,0.9800665682363761
-0.10000000000001169,0.9950041413205273
-1.1685097334179773E-14,1.0000000006627803
0.09999999999998832,-4.551240324422637
0.19999999999998833,-2.5422112515994573
0.29999999999998833,-1.69833864105721
0.39999999999998836,-1.2289866688388171
0.49999999999998834,-0.9312822610604514
0.5999999999999883,-0.7271393045801671
0.6999999999999883,-0.5798005572692694
0.7999999999999883,-0.4695171957390032
0.8999999999999883,-0.38468461756156
0.9999999999999882,-0.31804675991984066
1.0999999999999883,-0.26482460320644147
1.1999999999999884,-0.2217446735792723
1.2999999999999885,-0.18648852293761967
1.3999999999999886,-0.15737373864285314
1.4999999999999887,-0.13314943338885724
1.5999999999999888,-0.11286010890982635
1.6999999999999889,-0.09579493872268137
1.799999999999989,-0.08136230981578586
1.899999999999989,-0.06910901776801459
1.9999999999999891,-0.05869001255295885
2.099999999999989,-0.04980533185211527
2.199999999999989,-0.042215026839914536
2.299999999999989,-0.03572269083762087
2.3999999999999893,-0.030165458318694514
2.4999999999999893,-0.025406797548518534
2.5999999999999894,-0.02133387036202575
2.6999999999999895,-0.017849007065922694
2.7999999999999896,-0.014871976871126605
2.8999999999999897,-0.012331544972033447
2.99999999999999,-0.010170180979558942
3.09999999999999,-0.008333940189187648
3.19999999999999,-0.00678131922400174
3.29999999999999,-0.005473937093861794
3.39999999999999,-0.004377159052445904
3.4999999999999902,-0.0034626235004230903
3.5999999999999903,-0.0027053629021137823
3.6999999999999904,-0.002083384503505947
3.7999999999999905,-0.0015768251854194175
3.8999999999999906,-0.0011707394316315066
3.9999999999999907,-8.475956006690055E-4
4.099999999999991,-5.962059305374546E-4
4.19999999999999,-4.043242948377873E-4
4.29999999999999,-2.617228102889188E-4
4.39999999999999,-1.5935791305444387E-4
4.499999999999989,-8.922209620102598E-5
4.599999999999989,-4.4224724552701144E-5
4.699999999999989,-1.8072851604958158E-5
4.799999999999988,-5.190494418105315E-6
4.899999999999988,-6.290885998771085E-7
4.999999999999988,-1.194278934663188E-45
5.099999999999987,5.925275446888804E-7
5.199999999999987,4.601123769148828E-6
5.2999999999999865,1.5087750146693772E-5
5.399999999999986,3.477349753639163E-5
5.499999999999986,6.605096631999389E-5
5.599999999999985,1.1101868197577101E-4
5.699999999999985,1.7157451939095938E-4
5.799999999999985,2.4941687564206973E-4
5.899999999999984,3.459251330121614E-4
5.999999999999984,4.6225712095677036E-4
6.099999999999984,5.998417855661614E-4
6.199999999999983,7.594051754120562E-4
6.299999999999983,9.415057971518917E-4
6.399999999999983,0.0011477053398830286
6.499999999999982,0.0013774333142671062
6.599999999999982,0.0016322397993125419
